id,value
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Alemania,0
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Antigua y Barbuda,9
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Antillas Holandesas,37
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Argentina,0
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Aruba,48
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Barbados,107
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Belice,40
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Bolivia,108
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Brasil,5
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Canadá,6
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Chile,744
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.China,137
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Costa Rica,1267
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Cuba,12
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Curazao,22
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Dominica,5
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Ecuador,1359
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.El Salvador,236
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Emiratos Árabes Unidos,4
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.España,0
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Estados Unidos,8686
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Granada,6
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Guatemala,553
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Guyana,16
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Haití,1
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Honduras,81
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.India,17
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Italia,32
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Malta,0
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.México,44
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Nicaragua,4
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café.Nigeria,4
